,0
0,0.35861384868621826
1,0.3665512800216675
2,0.37481608986854553
3,0.3820841312408447
4,0.3903454542160034
5,0.39819228649139404
6,0.40622952580451965
7,0.4140963852405548
8,0.42169082164764404
9,0.42975667119026184
10,0.4373272657394409
11,0.445283442735672
12,0.4530123472213745
13,0.46019837260246277
14,0.46852004528045654
15,0.4767095148563385
16,0.4844590723514557
17,0.4915306568145752
18,0.4984537959098816
19,0.5063136518001556
20,0.5144741535186768
21,0.5223679840564728
22,0.5297799408435822
23,0.5362370908260345
24,0.5435594022274017
25,0.5510959327220917
26,0.5588915348052979
27,0.5646932423114777
28,0.5718289613723755
29,0.5784494578838348
30,0.5867443680763245
31,0.5938015580177307
32,0.6008555293083191
33,0.6066136360168457
34,0.6133545637130737
35,0.6205826997756958
36,0.6276916563510895
37,0.633543848991394
38,0.6392615437507629
39,0.6458081603050232
40,0.6517244875431061
41,0.6601387858390808
42,0.6652560234069824
43,0.6698284447193146
44,0.6769942045211792
45,0.6818253099918365
46,0.6887249946594238
47,0.6934188008308411
48,0.6988464891910553
49,0.7052328288555145
50,0.7111541032791138
51,0.7163888216018677
52,0.7207399308681488
53,0.7261914014816284
54,0.7315064668655396
55,0.735574334859848
56,0.7388951778411865
57,0.7429356276988983
58,0.7477071285247803
59,0.7530087828636169
60,0.7558340728282928
61,0.7605222463607788
62,0.7642480134963989
63,0.7700800895690918
64,0.7718220949172974
65,0.7750910222530365
66,0.7789136171340942
67,0.7832959294319153
68,0.7859576940536499
69,0.7882387042045593
70,0.7916607558727264
71,0.7950141429901123
72,0.7975010573863983
73,0.7994946539402008
74,0.8005903363227844
75,0.8036544024944305
76,0.8050723373889923
77,0.8092415630817413
78,0.8106677234172821
79,0.8124098181724548
80,0.812220960855484
81,0.813796192407608
82,0.8148618638515472
83,0.8170279264450073
84,0.8180951476097107
85,0.8203438520431519
86,0.8185625076293945
87,0.8196627795696259
88,0.8201461136341095
89,0.8193907737731934
90,0.8206830024719238
91,0.8181251287460327
92,0.817899614572525
93,0.8179604411125183
94,0.8162295818328857
95,0.816072404384613
96,0.8144756555557251
97,0.8121637403964996
98,0.8084695041179657
99,0.8046741485595703
100,0.8050544261932373
