,0
0,0.0
1,0.015874862670898438
2,0.031612396240234375
3,0.047336578369140625
4,0.06346321105957031
5,0.07915687561035156
6,0.09483528137207031
7,0.11056900024414062
8,0.12615394592285156
9,0.1418895721435547
10,0.1574268341064453
11,0.172943115234375
12,0.1887969970703125
13,0.20435714721679688
14,0.21981239318847656
15,0.2353992462158203
16,0.2508983612060547
17,0.26622962951660156
18,0.2816600799560547
19,0.2969837188720703
20,0.3121166229248047
21,0.32711219787597656
22,0.3419361114501953
23,0.3568305969238281
24,0.3714752197265625
25,0.3861522674560547
26,0.4009513854980469
27,0.4153270721435547
28,0.4299945831298828
29,0.4444236755371094
30,0.4586372375488281
31,0.4727516174316406
32,0.4864635467529297
33,0.49995994567871094
34,0.5138378143310547
35,0.5275020599365234
36,0.5409278869628906
37,0.5542163848876953
38,0.5672359466552734
39,0.5799331665039062
40,0.5925579071044922
41,0.6050300598144531
42,0.6172447204589844
43,0.6291618347167969
44,0.6411170959472656
45,0.6527595520019531
46,0.6641826629638672
47,0.6755504608154297
48,0.6868019104003906
49,0.6979904174804688
50,0.7086448669433594
51,0.7191143035888672
52,0.729400634765625
53,0.7395114898681641
54,0.7493495941162109
55,0.7590694427490234
56,0.7680873870849609
57,0.7769603729248047
58,0.7857112884521484
59,0.7943344116210938
60,0.8027572631835938
61,0.8109455108642578
62,0.8191890716552734
63,0.8268928527832031
64,0.8343372344970703
65,0.8416671752929688
66,0.8485202789306641
67,0.8553047180175781
68,0.86181640625
69,0.8683586120605469
70,0.8744106292724609
71,0.8803253173828125
72,0.8860912322998047
73,0.89166259765625
74,0.8970222473144531
75,0.9019622802734375
76,0.9067783355712891
77,0.9115524291992188
78,0.9159889221191406
79,0.9202651977539062
80,0.9242439270019531
81,0.9281864166259766
82,0.9319019317626953
83,0.9354419708251953
84,0.9387645721435547
85,0.9420738220214844
86,0.9452438354492188
87,0.9482364654541016
88,0.9511833190917969
89,0.9540290832519531
90,0.9566135406494141
91,0.9590225219726562
92,0.9613437652587891
93,0.9634456634521484
94,0.9655284881591797
95,0.96759033203125
96,0.9695453643798828
97,0.9712581634521484
98,0.9729785919189453
99,0.9744968414306641
100,0.9760494232177734
